monotonic                     (!) 1.6                  An implementation of...
more-itertools                (!) 10.2.0               More routines for op...
moviepy                       (!) 1.0.3                Video editing with P...
mpmath                        (!) 1.3.0                Python library for a...
mss                           (!) 6.1.0                An ultra fast cross-...
multidict                     (!) 6.0.5                multidict implementa...
murmurhash                    (!) 1.0.10               Cython bindings for ...
mypy-extensions               (!) 1.0.0                Type system extensio...
networkx                      (!) 3.2.1                Python package for c...
nicegui                       (!) 1.4.9                Create web-based use...
ninja                         (!) 1.11.1.1             Ninja is a small bui...
nltk                          (!) 3.8.1                Natural Language Too...
nodeenv                       (!) 1.8.0                Node.js virtual envi...
numba                         (!) 0.57.0               compiling Python cod...
numpy                         (!) 1.24.4               Fundamental package ...
oa-pynput                     (!) 1.7.7                Monitor and control ...
onnxruntime                   (!) 1.17.3               ONNX Runtime is a ru...
openai                        (!) 0.27.5               Python client librar...
openai-whisper                (!) 20230314 ba3f3cd     Robust Speech Recogn...
opencv-python                 (!) 4.9.0.80             Wrapper package for ...
opencv-python-headless        (!) 4.9.0.80             Wrapper package for ...
ordered-set                   (!) 4.1.0                An OrderedSet is a c...
orjson                        (!) 3.10.0               Fast, correct Python...
packaging                     (!) 24.0                 Core utilities for P...
pandas                        (!) 2.0.0                Powerful data struct...
parso                         (!) 0.8.4                A Python Parser
pathspec                      (!) 0.12.1               Utility library for ...
pexpect                       (!) 4.9.0                Pexpect allows easy ...
phonenumbers                  (!) 8.13.34              Python version of Go...
pillow                        (!) 9.5.0                Python Imaging Libra...
platformdirs                  (!) 4.2.0                A small Python packa...
pluggy                        (!) 1.4.0                plugin and hook call...
posthog                       (!) 3.5.0                Integrate PostHog in...
pre-commit                    (!) 3.7.0                A framework for mana...
preshed                       (!) 3.0.9                Cython hash table th...
presidio-analyzer             (!) 2.2.32               Presidio analyzer pa...
presidio-anonymizer           (!) 2.2.32               Persidio Anonymizer ...
presidio-image-redactor       (!) 0.0.48               Presidio image redac...
proglog                       (!) 0.1.10               Log and progress bar...
prompt-toolkit                (!) 3.0.43               Library for building...
proto-plus                    (!) 1.23.0               Beautiful, Pythonic ...
protobuf                      (!) 4.25.3               
proxy-tools                   (!) 0.1.0                Proxy Implementation
pscript                       (!) 0.7.7                Python to JavaScript...
psutil                        (!) 5.9.8                Cross-platform lib f...
ptyprocess                    (!) 0.7.0                Run a subprocess in ...
pudb                          (!) 2024.1               A full-screen, conso...
pure-eval                     (!) 0.2.2                Safely evaluate AST ...
py                            (!) 1.11.0               library with cross-p...
py-cpuinfo                    (!) 9.0.0                Get CPU info with pu...
pyasn1                        (!) 0.6.0                Pure-Python implemen...
pyasn1-modules                (!) 0.4.0                A collection of ASN....
pyclipper                     (!) 1.3.0.post5          Cython wrapper for t...
pycodestyle                   (!) 2.11.1               Python style guide c...
pycountry                     (!) 23.12.11             ISO country, subdivi...
pycparser                     (!) 2.22                 C parser in Python
pycryptodome                  (!) 3.20.0               Cryptographic librar...
pydantic                          2.7.0                Data validation usin...
pydantic-core                     2.18.1               Core functionality f...
pydantic-settings                 2.2.1                Settings management ...
pydicom                       (!) 2.4.4                A pure Python packag...
pydocstyle                    (!) 6.3.0                Python docstring sty...
pyflakes                      (!) 3.1.0                passive checker of P...
pygments                      (!) 2.17.2               Pygments is a syntax...
pyinstaller                   (!) 6.5.0                PyInstaller bundles ...
pyinstaller-hooks-contrib     (!) 2024.4               Community maintained...
pylint                        (!) 3.1.0                python code static c...
pympler                       (!) 1.0.1                A development tool t...
pynacl                        (!) 1.5.0                Python binding to th...
pyopenssl                     (!) 24.1.0               Python wrapper modul...
pyparsing                     (!) 3.1.2                pyparsing module - C...
pyperclip                     (!) 1.8.2                A cross-platform cli...
pypng                         (!) 0.20220715.0         Pure Python library ...
pyqt-toast-notification       (!) 1.1.0                A fully customizable...
pyside6                           6.7.0                Python bindings for ...
pyside6-addons                    6.7.0                Python bindings for ...
pyside6-essentials                6.7.0                Python bindings for ...
pytesseract                   (!) 0.3.7                Python-tesseract is ...
pytest                        (!) 7.1.3                pytest: simple power...
python-bidi                   (!) 0.4.2                Pure python implemen...
python-dateutil               (!) 2.9.0.post0          Extensions to the st...
python-dotenv                     1.0.0                Read key-value pairs...
python-engineio               (!) 4.9.0                Engine.IO server and...
python-levenshtein            (!) 0.21.1               Python extension for...
python-multipart              (!) 0.0.6                A streaming multipar...
python-socketio               (!) 5.11.2               Socket.IO server and...
python-xlib                   (!) 0.33                 Python X Library
pytz                          (!) 2024.1               World timezone defin...
pywavelets                    (!) 1.6.0                PyWavelets, wavelet ...
pywebview                     (!) 4.4.1                Build GUI for your P...
pyyaml                        (!) 6.0.1                YAML parser and emit...
qtpy                          (!) 2.4.1                Provides an abstract...
rapidfuzz                     (!) 3.8.1                rapid fuzzy string m...
rapidocr-onnxruntime          (!) 1.2.3                A cross platform OCR...
regex                         (!) 2023.12.25           Alternative regular ...
replicate                     (!) 0.25.1               Python client for Re...
requests                      (!) 2.31.0               Python HTTP for Humans.
requests-file                 (!) 2.0.0                File transport adapt...
rsa                           (!) 4.9                  Pure-Python RSA impl...
s3transfer                    (!) 0.10.1               An Amazon S3 Transfe...
scikit-image                  (!) 0.22.0               Image processing in ...
scikit-learn                  (!) 1.2.2                A set of python modu...
scipy                         (!) 1.9.3                Fundamental algorith...
seaborn                       (!) 0.13.2               Statistical data vis...
segment-anything              (!) 1.0                  
sentry-sdk                        1.45.0               Python client for Se...
service-identity              (!) 24.1.0               Service identity ver...
setuptools                        69.5.1               Easily download, bui...
setuptools-lint               (!) 0.6.0                Setuptools command f...
shapely                       (!) 2.0.3                Manipulation and ana...
shiboken6                         6.7.0                Python/C++ bindings ...
simple-websocket              (!) 1.0.0                Simple WebSocket ser...
six                               1.16.0               Python 2 and 3 compa...
smart-open                    (!) 6.4.0                Utils for streaming ...
smmap                             5.0.1                A pure Python implem...
sniffio                       (!) 1.3.1                Sniff out which asyn...
snowballstemmer               (!) 2.2.0                This package provide...
sounddevice                   (!) 0.4.6                Play and Record Soun...
soundfile                     (!) 0.12.1               An audio library bas...
spacy                         (!) 3.7.4                Industrial-strength ...
spacy-alignments              (!) 0.9.1                A spaCy package for ...
spacy-curated-transformers    (!) 0.2.2                Curated transformer ...
spacy-legacy                  (!) 3.0.12               Legacy registered fu...
spacy-loggers                 (!) 1.0.5                Logging utilities fo...
spacy-transformers            (!) 1.3.4                spaCy pipelines for ...
spake2                        (!) 0.8                  SPAKE2 password-auth...
sphinx                        (!) 7.0.1                Python documentation...
sphinxcontrib-applehelp       (!) 1.0.8                sphinxcontrib-appleh...
sphinxcontrib-devhelp         (!) 1.0.6                sphinxcontrib-devhel...
sphinxcontrib-htmlhelp        (!) 2.0.5                sphinxcontrib-htmlhe...
sphinxcontrib-jsmath          (!) 1.0.1                A sphinx extension w...
sphinxcontrib-qthelp          (!) 1.0.7                sphinxcontrib-qthelp...
sphinxcontrib-serializinghtml (!) 1.1.10               sphinxcontrib-serial...
sqlalchemy                        1.4.43               Database Abstraction...
srsly                         (!) 2.4.8                Modern high-performa...
stack-data                    (!) 0.6.3                Extract data from py...
starlette                     (!) 0.37.2               The little ASGI libr...
sumy                          (!) 0.11.0               Module for automatic...
sympy                         (!) 1.12                 Computer algebra sys...
termcolor                     (!) 2.4.0                ANSI color formattin...
thinc                         (!) 8.2.3                A refreshing functio...
thop                          (!) 0.1.1.post2209072238 A tool to count the ...
